City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lorengau,PG,-2.0226,147.2712,86.0,66,87,7.83,overcast clouds
80,Gorontalo,ID,0.5412,123.0595,88.75,63,73,3.13,broken clouds
81,Conceicao Da Barra,BR,-18.5933,-39.7322,72.46,86,93,5.57,overcast clouds
82,Macapa,BR,0.0389,-51.0664,84.18,79,20,8.05,few clouds
83,Sivas,TR,39.7916,37.0019,39.83,75,0,4.61,clear sky
84,Chuy,UY,-33.6971,-53.4616,60.75,72,100,14.67,overcast clouds
85,Albany,US,42.6001,-73.9662,36.25,84,0,3.87,clear sky
86,Cavnic,RO,47.6667,23.8667,38.39,94,100,2.62,overcast clouds
87,Bowen,AU,-20.0167,148.2333,86.22,61,20,13.0,few clouds
88,Thompson,CA,55.7435,-97.8558,30.36,93,40,0.0,scattered clouds
89,Malpe,IN,13.35,74.7167,76.3,83,98,5.64,overcast clouds
90,Vangaindrano,MG,-23.35,47.6,69.24,73,28,4.27,scattered clouds
91,Krasnoselkup,RU,65.7,82.4667,1.89,100,96,6.51,overcast clouds
92,Carnarvon,AU,-24.8667,113.6333,71.67,56,0,24.16,clear sky
93,Mehamn,NO,71.0357,27.8492,35.53,97,100,22.82,overcast clouds
94,Galle,LK,6.0367,80.217,82.65,76,39,11.88,scattered clouds
95,Ilulissat,GL,69.2167,-51.1,2.25,72,41,7.65,scattered clouds
96,Dingle,PH,10.9995,122.6711,86.7,71,80,8.05,broken clouds
97,Soloneshnoye,RU,51.6544,84.3197,20.86,78,100,5.1,overcast clouds
98,Esperance,AU,-33.8667,121.9,60.64,51,100,6.33,overcast clouds
99,Japura,ID,-0.3167,102.35,85.55,67,100,3.06,overcast clouds
100,Namibe,AO,-15.1961,12.1522,65.28,87,94,1.1,overcast clouds
101,Cidreira,BR,-30.1811,-50.2056,68.22,91,100,9.95,overcast clouds
102,Geraldton,AU,-28.7667,114.6,70.21,49,0,14.97,clear sky
103,Muros,ES,42.7762,-9.0603,50.99,77,18,8.57,few clouds
104,Caravelas,BR,-17.7125,-39.2481,75.36,80,100,5.86,overcast clouds
105,Marrakesh,MA,31.6315,-8.0083,50.07,57,0,5.75,clear sky
106,Vysokogornyy,RU,50.1167,139.15,43.88,60,42,8.28,scattered clouds
107,Goundam,ML,16.4145,-3.6708,83.08,18,12,9.01,few clouds
