City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,West Wendover,US,40.7391,-114.0733,53.91,53,100,2.57,overcast clouds
80,New Norfolk,AU,-42.7826,147.0587,71.71,58,100,1.99,moderate rain
81,Bintulu,MY,3.1667,113.0333,78.62,89,100,4.59,overcast clouds
82,Trairi,BR,-3.2778,-39.2689,80.11,79,100,8.57,overcast clouds
83,Bandarbeyla,SO,9.4942,50.8122,75.92,77,0,6.38,clear sky
84,Nome,US,64.5011,-165.4064,26.67,81,90,18.41,overcast clouds
85,Upernavik,GL,72.7868,-56.1549,11.44,69,12,6.35,few clouds
86,Biak,ID,-0.9131,122.8766,83.23,70,58,1.23,broken clouds
87,Rognan,NO,67.0953,15.3878,37.89,90,100,7.76,overcast clouds
88,Fairbanks,US,64.8378,-147.7164,23.59,85,100,2.3,light snow
89,Kamiiso,JP,41.8167,140.65,53.62,66,21,2.01,few clouds
90,San Quintin,MX,30.4833,-115.95,65.39,83,6,6.53,clear sky
91,Matara,LK,5.9485,80.5353,76.84,89,67,8.05,broken clouds
92,Nanortalik,GL,60.1432,-45.2371,30.78,79,92,4.99,overcast clouds
93,Ayorou,NE,14.7308,0.9174,86.14,19,0,7.27,clear sky
94,Jacareacanga,BR,-6.2222,-57.7528,75.16,83,86,1.5,overcast clouds
95,Souillac,MU,-20.5167,57.5167,71.37,82,49,8.55,scattered clouds
96,Bahile,PH,9.9995,118.7878,82.67,79,100,6.15,overcast clouds
97,Port Augusta,AU,-32.5,137.7667,89.71,30,8,19.86,clear sky
98,Labuhan,ID,-6.8844,112.2051,84.43,72,100,6.73,overcast clouds
99,Ushuaia,AR,-54.8,-68.3,53.26,43,40,16.11,scattered clouds
100,Kathmandu,NP,27.7167,85.3167,50.22,100,20,2.3,mist
101,Merritt Island,US,28.5392,-80.672,70.09,91,90,18.01,overcast clouds
102,Srednekolymsk,RU,67.45,153.6833,2.19,87,100,4.65,overcast clouds
103,Ola,RU,59.5833,151.2833,25.14,92,100,3.74,light snow
104,Boende,CD,-0.2167,20.8667,70.36,98,41,1.25,scattered clouds
105,Fort Nelson,CA,58.8053,-122.7002,32.2,99,100,1.68,overcast clouds
106,Wajir,KE,1.7471,40.0573,77.27,70,0,14.09,clear sky
107,Berlevag,NO,70.8578,29.0864,36.34,98,100,25.59,overcast clouds
108,Paraiso,CR,9.8383,-83.8656,68.41,96,85,1.79,overcast clouds
109,Guane,CU,22.2025,-84.0875,74.34,85,64,6.51,broken clouds
110,Vila Velha,BR,-20.3297,-40.2925,72.95,83,75,5.01,broken clouds
111,Pevek,RU,69.7008,170.3133,-10.75,94,5,7.18,clear sky
112,Monrovia,LR,6.3005,-10.7969,79.93,82,39,5.37,scattered clouds
113,Lata,PT,40.1629,-8.3327,45.07,74,0,5.06,clear sky
114,Ouesso,CG,1.6136,16.0517,70.61,96,100,1.01,light rain
115,Teya,RU,60.3778,92.6267,21.47,85,100,12.57,overcast clouds
116,Khandyga,RU,62.6667,135.6,6.67,92,100,5.79,overcast clouds
117,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,85,100,18.45,overcast clouds
118,Santa Marinella,IT,42.0345,11.8536,56.55,87,90,4.43,overcast clouds
119,Tommot,RU,58.9564,126.2925,7.86,79,100,11.81,overcast clouds
120,Miri,MY,4.4148,114.0089,80.26,82,99,3.8,overcast clouds
121,Russellville,US,35.2784,-93.1338,43.99,79,1,0.0,clear sky
122,Vanimo,PG,-2.6741,141.3028,82.83,77,100,7.43,overcast clouds
123,Husavik,IS,66.0449,-17.3389,27.55,84,98,7.87,overcast clouds
124,Hilo,US,19.7297,-155.09,82.13,72,1,10.36,clear sky
125,Sterling,US,39.0062,-77.4286,43.79,78,75,0.0,broken clouds
126,Laguna,US,38.421,-121.4238,63.43,66,1,1.99,clear sky
127,Butaritari,KI,3.0707,172.7902,82.31,72,48,12.84,light rain
128,Puerto Ayora,EC,-0.7393,-90.3518,69.04,78,100,9.42,overcast clouds
129,Yerbogachen,RU,61.2767,108.0108,13.26,92,100,14.14,light snow
130,Muros,ES,42.7762,-9.0603,52.99,76,23,9.55,few clouds
131,Faya,SA,18.3851,42.4509,54.12,50,88,2.51,overcast clouds
132,Pokhara,NP,28.2333,83.9833,56.53,50,100,5.88,overcast clouds
133,Geraldton,AU,-28.7667,114.6,66.61,52,0,17.27,clear sky
134,Shubarkuduk,KZ,49.1447,56.4872,25.65,21,58,5.91,broken clouds
135,Kenai,US,60.5544,-151.2583,36.09,92,20,0.0,light rain
136,Nanzhang,CN,31.7765,111.8386,63.75,79,100,5.75,overcast clouds
137,Joshimath,IN,30.5667,79.5667,47.48,27,3,7.81,clear sky
138,San Bernardo,CL,-33.6,-70.7167,65.75,41,0,3.47,clear sky
