City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
312,Umm Kaddadah,SD,77.72,clear sky,13.6017,26.6876,
314,Itarema,BR,79.81,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
316,Kismayo,SO,79.74,overcast clouds,-0.3582,42.5454,Agan-Hotel
320,Bucerias,MX,75.7,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
322,Bilma,NE,76.37,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
327,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
329,Faanui,PF,79.03,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
330,Sydney,AU,84.34,few clouds,-33.8679,151.2073,The Grace Sydney
332,Souillac,MU,76.35,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
333,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
338,Tabuk,PH,86.32,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
339,Bo Phloi,TH,84.49,broken clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
341,Keti Bandar,PK,78.85,overcast clouds,24.1447,67.4497,Haji laloo memon house
343,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
347,Key West,US,80.6,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
348,Maracaibo,VE,79.83,broken clouds,10.6317,-71.6406,Motel Aladdin
349,Flinders,AU,80.8,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
350,Isangel,VU,76.05,overcast clouds,-19.55,169.2667,Tanna Lodge
351,Dhidhdhoo,MV,81.9,overcast clouds,6.8833,73.1,Dhidhoo beach
353,Merauke,ID,87.57,few clouds,-8.4667,140.3333,
354,Umm Lajj,SA,80.44,clear sky,25.0213,37.2685,Moon light Furnished Units
355,Pizarro,CO,76.46,light rain,4.9533,-77.366,Hotel Limonar
360,Dovers,VC,81.97,few clouds,12.8833,-61.1833,Ocean Breeze
366,Puerto Escondido,MX,78.73,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
